GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
947,53.1,17.1,10,24,5.8,SW,30.06,0,-9999,Mostly Cloudy,0,0,-999,-9999
963,86,63,10,46,4.6,North,29.96,0,-9999,Mostly Cloudy,0,0,-999,86.8
1004,77,52,10,42,6.9,North,29.83,0,-9999,Scattered Clouds,0,0,-999,-9999
1055,62.1,37,10,39,4.6,East,30.06,0,-9999,Scattered Clouds,0,0,-999,-9999
1083,62.1,35.1,10,37,13.8,North,30.21,0,-9999,Partly Cloudy,0,0,-999,-9999
1122,57.9,27,10,31,13.8,NNW,29.96,0,-9999,Clear,0,0,-999,-9999
1140,57,34,10,42,5.8,SW,30.14,0,-9999,Scattered Clouds,0,0,-999,-9999
1180,48,25,10,41,11.5,NW,29.99,0,-9999,Scattered Clouds,0,0,-999,-9999
1186,70,66,6,87,13.8,South,30.02,0,0,Light Rain,1,0,-999,-9999
1219,69.1,55,10,61,6.9,ENE,30.25,0,-9999,Overcast,0,0,-999,-9999
1247,75.9,64,10,67,5.8,SSW,29.86,0,-9999,Mostly Cloudy,0,0,-999,-9999
1263,62.1,30.9,10,31,10.4,SW,30,0,-9999,Clear,0,0,-999,-9999
1309,81,43,10,26,12.7,West,29.91,0,-9999,Clear,0,0,-999,-9999
1322,52,34,10,50,3.5,NNE,29.98,0,-9999,Clear,0,0,-999,-9999
1349,52,21.9,10,31,3.5,ESE,30.18,0,-9999,Overcast,0,0,-999,-9999
1413,60.1,23,10,24,0,North,30.02,0,-9999,Clear,0,0,-999,-9999
1428,50,35.1,10,57,4.6,East,30.21,0,-9999,Overcast,0,0,-999,-9999
1458,86,59,10,40,3.5,North,29.94,0,-9999,Mostly Cloudy,0,0,-999,85.4
1475,68,64,2,87,10.4,NNE,30.14,0,0,Light Rain,1,0,-999,-9999
1544,68,60.1,10,76,3.5,SSW,30.16,0,-9999,Overcast,0,0,-999,-9999
1559,64.9,62.1,10,90,4.6,ENE,30.04,0,0.02,Light Rain,1,0,-999,-9999
1562,55.9,35.1,10,45,8.1,NE,30.36,0,-9999,Overcast,0,0,-999,-9999
1594,55,30.9,10,40,11.5,NNE,29.95,0,-9999,Mostly Cloudy,0,0,-999,-9999
1641,70,52,10,53,8.1,South,30.14,0,-9999,Mostly Cloudy,0,0,-999,-9999
1698,87.1,66,10,49,4.6,SE,30.01,0,-9999,Mostly Cloudy,0,0,-999,89.2
1715,84.9,66,10,53,0,North,30.09,0,-9999,Scattered Clouds,0,0,-999,87.1
1757,62.1,42.1,10,48,4.6,Variable,30.33,0,-9999,Partly Cloudy,0,0,-999,-9999
